 date,weekday,downloads
2018-11-02,5,0
2018-11-03,6,1
2018-11-04,0,1
2018-11-05,1,0
2018-11-06,2,5
2018-11-07,3,0
2018-11-08,4,1
2018-11-09,5,1
2018-11-10,6,2
2018-11-11,0,1
2018-11-12,1,1
2018-11-13,2,2
2018-11-14,3,2
2018-11-15,4,2
2018-11-16,5,0
2018-11-17,6,5
2018-11-18,0,5
2018-11-19,1,1
2018-11-20,2,0
2018-11-21,3,0
2018-11-22,4,0
2018-11-23,5,0
2018-11-24,6,0
2018-11-25,0,0
2018-11-26,1,1
2018-11-27,2,3
2018-11-28,3,0
2018-11-29,4,1
2018-11-30,5,1
2018-12-01,6,0
2018-12-02,0,0
2018-12-03,1,0
2018-12-04,2,1
2018-12-05,3,0
2018-12-06,4,0
2018-12-07,5,1
2018-12-08,6,1
2018-12-09,0,0
2018-12-10,1,1
2018-12-11,2,1
2018-12-12,3,0
2018-12-13,4,0
2018-12-14,5,1
2018-12-15,6,0
2018-12-16,0,1
2018-12-17,1,1
2018-12-18,2,31
2018-12-19,3,23
2018-12-20,4,7
2018-12-21,5,4
2018-12-22,6,4
2018-12-23,0,2
2018-12-24,1,2
2018-12-25,2,0
2018-12-26,3,5
2018-12-27,4,2
2018-12-28,5,3
2018-12-29,6,2
2018-12-30,0,0
2018-12-31,1,1
2019-01-01,2,2
2019-01-02,3,2
2019-01-03,4,3
2019-01-04,5,1
2019-01-05,6,1
2019-01-06,0,3
2019-01-07,1,4
2019-01-08,2,30
2019-01-09,3,16
2019-01-10,4,13
2019-01-11,5,8
2019-01-12,6,4
2019-01-13,0,3
2019-01-14,1,5
2019-01-15,2,1
2019-01-16,3,4
2019-01-17,4,2
2019-01-18,5,1
2019-01-19,6,4
2019-01-20,0,2
2019-01-21,1,2
2019-01-22,2,2
2019-01-23,3,1
2019-01-24,4,1
2019-01-25,5,1
2019-01-26,6,3
2019-01-27,0,3
2019-01-28,1,3
2019-01-29,2,4
2019-01-30,3,4
2019-01-31,4,1
2019-02-01,5,2
2019-02-02,6,0
2019-02-03,0,2
2019-02-04,1,3
2019-02-05,2,2
2019-02-06,3,2
2019-02-07,4,4
2019-02-08,5,3
2019-02-09,6,2
2019-02-10,0,0
2019-02-11,1,0
2019-02-12,2,2
2019-02-13,3,0
2019-02-14,4,1
2019-02-15,5,1
2019-02-16,6,0
2019-02-17,0,1
2019-02-18,1,2
2019-02-19,2,0
2019-02-20,3,1
2019-02-21,4,0
2019-02-22,5,1
2019-02-23,6,1
2019-02-24,0,0
2019-02-25,1,0
2019-02-26,2,1
2019-02-27,3,0
2019-02-28,4,2
2019-03-01,5,3
2019-03-02,6,1
2019-03-03,0,3
2019-03-04,1,1
2019-03-05,2,0
2019-03-06,3,0
2019-03-07,4,0
2019-03-08,5,1
2019-03-09,6,0
2019-03-10,0,1
2019-03-11,1,1
2019-03-12,2,1
2019-03-13,3,3
2019-03-14,4,0
2019-03-15,5,0
2019-03-16,6,2
2019-03-17,0,1
2019-03-18,1,0
2019-03-19,2,0
2019-03-20,3,0
2019-03-21,4,1
2019-03-22,5,0
2019-03-23,6,1
2019-03-24,0,1
2019-03-25,1,0
2019-03-26,2,1
2019-03-27,3,3
2019-03-28,4,0
2019-03-29,5,1
2019-03-30,6,0
2019-03-31,0,1
2019-04-01,1,0
2019-04-02,2,0
2019-04-03,3,2
2019-04-04,4,19
2019-04-05,5,20
2019-04-06,6,5
2019-04-07,0,9
2019-04-08,1,8
2019-04-09,2,1
2019-04-10,3,2
2019-04-11,4,0
2019-04-12,5,1
2019-04-13,6,4
2019-04-14,0,1
2019-04-15,1,4
2019-04-16,2,1
2019-04-17,3,0
2019-04-18,4,2
2019-04-19,5,2
2019-04-20,6,1
2019-04-21,0,3
2019-04-22,1,2
2019-04-23,2,2
2019-04-24,3,1
2019-04-25,4,1
2019-04-26,5,4
2019-04-27,6,3
2019-04-28,0,1
2019-04-29,1,1
2019-04-30,2,1
2019-05-01,3,1
2019-05-02,4,0
2019-05-03,5,2
2019-05-04,6,0
2019-05-05,0,2
2019-05-06,1,3
2019-05-07,2,1
2019-05-08,3,2
2019-05-09,4,3
2019-05-10,5,1
2019-05-11,6,0
2019-05-12,0,0
2019-05-13,1,2
2019-05-14,2,0
2019-05-15,3,1
2019-05-16,4,19
2019-05-17,5,29
2019-05-18,6,8
2019-05-19,0,4
2019-05-20,1,7
2019-05-21,2,5
2019-05-22,3,13
2019-05-23,4,7
2019-05-24,5,1
2019-05-25,6,3
2019-05-26,0,1
2019-05-27,1,3
2019-05-28,2,2
2019-05-29,3,3
2019-05-30,4,2
2019-05-31,5,2
2019-06-01,6,1
2019-06-02,0,1
2019-06-03,1,3
2019-06-04,2,0
2019-06-05,3,1
2019-06-06,4,2
2019-06-07,5,2
2019-06-08,6,1
2019-06-09,0,2
2019-06-10,1,0
2019-06-11,2,1
2019-06-12,3,1
2019-06-13,4,0
2019-06-14,5,1
2019-06-15,6,1
2019-06-16,0,0
2019-06-17,1,0
2019-06-18,2,1
2019-06-19,3,2
2019-06-20,4,1
2019-06-21,5,1
2019-06-22,6,0
2019-06-23,0,0
2019-06-24,1,1
2019-06-25,2,3
2019-06-26,3,2
2019-06-27,4,0
2019-06-28,5,0
2019-06-29,6,0
2019-06-30,0,0
2019-07-01,1,0
2019-07-02,2,2
2019-07-03,3,0
2019-07-04,4,0
2019-07-05,5,0
2019-07-06,6,0
2019-07-07,0,0
2019-07-08,1,2
2019-07-09,2,0
2019-07-10,3,1
2019-07-11,4,0
2019-07-12,5,0
2019-07-13,6,1
2019-07-14,0,1
2019-07-15,1,1
2019-07-16,2,0
2019-07-17,3,0
2019-07-18,4,2
2019-07-19,5,2
2019-07-20,6,0
2019-07-21,0,0
2019-07-22,1,0
2019-07-23,2,0
2019-07-24,3,0
2019-07-25,4,0
2019-07-26,5,0
2019-07-27,6,1
2019-07-28,0,0
2019-07-29,1,0
2019-07-30,2,0
2019-07-31,3,1
2019-08-01,4,0
2019-08-02,5,1
2019-08-03,6,1
2019-08-04,0,0
2019-08-05,1,4
2019-08-06,2,1
2019-08-07,3,0
2019-08-08,4,0
2019-08-09,5,1
2019-08-10,6,0
2019-08-11,0,0
2019-08-12,1,1
2019-08-13,2,0
2019-08-14,3,3
2019-08-15,4,0
2019-08-16,5,0
2019-08-17,6,1
2019-08-18,0,2
2019-08-19,1,0
2019-08-20,2,1
2019-08-21,3,0
2019-08-22,4,0
2019-08-23,5,1
2019-08-24,6,0
2019-08-25,0,0
2019-08-26,1,0
2019-08-27,2,0
2019-08-28,3,1
2019-08-29,4,0
2019-08-30,5,1
2019-08-31,6,0
2019-09-01,0,0
2019-09-02,1,0
2019-09-03,2,0
2019-09-04,3,2
2019-09-05,4,1
2019-09-06,5,2
2019-09-07,6,0
2019-09-08,0,0
2019-09-09,1,3
2019-09-10,2,1
2019-09-11,3,2
2019-09-12,4,3
2019-09-13,5,1
2019-09-14,6,2
2019-09-15,0,1
2019-09-16,1,2
2019-09-17,2,1
2019-09-18,3,1
2019-09-19,4,1
2019-09-20,5,0
2019-09-21,6,0
2019-09-22,0,1
2019-09-23,1,0
2019-09-24,2,0
2019-09-25,3,0
2019-09-26,4,0
2019-09-27,5,0
2019-09-28,6,1
2019-09-29,0,0
2019-09-30,1,0
2019-10-01,2,0
2019-10-02,3,1
2019-10-03,4,3
2019-10-04,5,1
2019-10-05,6,1
2019-10-06,0,2
2019-10-07,1,1
2019-10-08,2,1
2019-10-09,3,0
2019-10-10,4,0
2019-10-11,5,0
2019-10-12,6,0
2019-10-13,0,1
2019-10-14,1,1
2019-10-15,2,0
2019-10-16,3,1
2019-10-17,4,0
2019-10-18,5,0
2019-10-19,6,1
2019-10-20,0,1
2019-10-21,1,1
2019-10-22,2,1
2019-10-23,3,0
2019-10-24,4,1
2019-10-25,5,1
2019-10-26,6,1
2019-10-27,0,0
2019-10-28,1,0
2019-10-29,2,1
2019-10-30,3,2
2019-10-31,4,1
2019-11-01,5,2
2019-11-02,6,0
2019-11-03,0,1
2019-11-04,1,1
2019-11-05,2,1
2019-11-06,3,1
2019-11-07,4,0
2019-11-08,5,3
2019-11-09,6,0
2019-11-10,0,0
2019-11-11,1,0
2019-11-12,2,0
2019-11-13,3,0
2019-11-14,4,0
2019-11-15,5,0
2019-11-16,6,0
2019-11-17,0,1
2019-11-18,1,1
2019-11-19,2,0
2019-11-20,3,2
2019-11-21,4,0
2019-11-22,5,0
2019-11-23,6,0
2019-11-24,0,0
2019-11-25,1,0
2019-11-26,2,0
2019-11-27,3,0
2019-11-28,4,2
2019-11-29,5,0
2019-11-30,6,2
2019-12-01,0,2
2019-12-02,1,2
2019-12-03,2,3
2019-12-04,3,2
2019-12-05,4,2
2019-12-06,5,2
2019-12-07,6,1
2019-12-08,0,0
2019-12-09,1,0
2019-12-10,2,0
2019-12-11,3,2
2019-12-12,4,0
2019-12-13,5,3
2019-12-14,6,1
2019-12-15,0,0
2019-12-16,1,2
2019-12-17,2,3
2019-12-18,3,2
2019-12-19,4,3
2019-12-20,5,1
2019-12-21,6,0
2019-12-22,0,0
2019-12-23,1,2
2019-12-24,2,0
2019-12-25,3,1
2019-12-26,4,0
2019-12-27,5,0
2019-12-28,6,0
2019-12-29,0,0
2019-12-30,1,0
2019-12-31,2,0
2020-01-01,3,0
2020-01-02,4,0
2020-01-03,5,0
2020-01-04,6,1
2020-01-05,0,1
2020-01-06,1,0
2020-01-07,2,0
2020-01-08,3,0
2020-01-09,4,1
2020-01-10,5,0
2020-01-11,6,1
2020-01-12,0,2
2020-01-13,1,0
2020-01-14,2,1
2020-01-15,3,2
2020-01-16,4,1
2020-01-17,5,0
2020-01-18,6,1
2020-01-19,0,1
2020-01-20,1,0
2020-01-21,2,1
2020-01-22,3,3
2020-01-23,4,1
2020-01-24,5,1
2020-01-25,6,0
2020-01-26,0,0
2020-01-27,1,3
2020-01-28,2,2
2020-01-29,3,2
2020-01-30,4,2
2020-01-31,5,2
2020-02-01,6,3
2020-02-02,0,1
2020-02-03,1,1
2020-02-04,2,1
2020-02-05,3,0
2020-02-06,4,2
2020-02-07,5,0
2020-02-08,6,0
2020-02-09,0,0
2020-02-10,1,1
2020-02-11,2,0
2020-02-12,3,1
2020-02-13,4,1
2020-02-14,5,2
2020-02-15,6,0
2020-02-16,0,3
2020-02-17,1,4
2020-02-18,2,0
2020-02-19,3,2
2020-02-20,4,0
2020-02-21,5,1
2020-02-22,6,1
2020-02-23,0,0
2020-02-24,1,1
2020-02-25,2,0
2020-02-26,3,0
2020-02-27,4,0
2020-02-28,5,0
2020-02-29,6,1
2020-03-01,0,1
2020-03-02,1,0
2020-03-03,2,0
2020-03-04,3,0
2020-03-05,4,0
2020-03-06,5,1
2020-03-07,6,1
2020-03-08,0,1
2020-03-09,1,0
2020-03-10,2,0
2020-03-11,3,0
2020-03-12,4,0
2020-03-13,5,0
2020-03-14,6,0
2020-03-15,0,0
2020-03-16,1,0
2020-03-17,2,7
2020-03-18,3,2
2020-03-19,4,0
2020-03-20,5,0
2020-03-21,6,1
2020-03-22,0,0
2020-03-23,1,2
2020-03-24,2,1
2020-03-25,3,0
2020-03-26,4,1
2020-03-27,5,1
2020-03-28,6,2
2020-03-29,0,0
2020-03-30,1,2
2020-03-31,2,0
2020-04-01,3,0
2020-04-02,4,0
2020-04-03,5,2
2020-04-04,6,0
2020-04-05,0,1
2020-04-06,1,0
2020-04-07,2,0
2020-04-08,3,2
2020-04-09,4,1
2020-04-10,5,0
2020-04-11,6,1
2020-04-12,0,1
2020-04-13,1,0
2020-04-14,2,1
2020-04-15,3,1
2020-04-16,4,1
2020-04-17,5,0
2020-04-18,6,0
2020-04-19,0,0
2020-04-20,1,3
2020-04-21,2,3
2020-04-22,3,1
2020-04-23,4,2
2020-04-24,5,0
2020-04-25,6,1
2020-04-26,0,0
2020-04-27,1,0
2020-04-28,2,0
2020-04-29,3,1
2020-04-30,4,0
2020-05-01,5,0
2020-05-02,6,1
2020-05-03,0,1
2020-05-04,1,3
2020-05-05,2,0
2020-05-06,3,2
2020-05-07,4,0
2020-05-08,5,0
2020-05-09,6,0
2020-05-10,0,0
2020-05-11,1,1
2020-05-12,2,2
2020-05-13,3,0
2020-05-14,4,3
2020-05-15,5,1
2020-05-16,6,0
2020-05-17,0,0
2020-05-18,1,0
2020-05-19,2,0
2020-05-20,3,1
2020-05-21,4,0
2020-05-22,5,0
2020-05-23,6,0
2020-05-24,0,2
2020-05-25,1,1
2020-05-26,2,2
2020-05-27,3,0
2020-05-28,4,2
2020-05-29,5,1
2020-05-30,6,0
2020-05-31,0,0
2020-06-01,1,0
2020-06-02,2,0
2020-06-03,3,0
2020-06-04,4,1
2020-06-05,5,0
2020-06-06,6,0
2020-06-07,0,0
2020-06-08,1,1
2020-06-09,2,0
2020-06-10,3,0
2020-06-11,4,1
2020-06-12,5,0
2020-06-13,6,1
2020-06-14,0,0
2020-06-15,1,1
2020-06-16,2,1
2020-06-17,3,0
2020-06-18,4,1
2020-06-19,5,1
2020-06-20,6,0
2020-06-21,0,0
2020-06-22,1,0
2020-06-23,2,2
2020-06-24,3,0
2020-06-25,4,0
2020-06-26,5,0
2020-06-27,6,1
2020-06-28,0,0
2020-06-29,1,0
2020-06-30,2,0
2020-07-01,3,0
2020-07-02,4,0
2020-07-03,5,0
2020-07-04,6,2
2020-07-05,0,0
2020-07-06,1,0
2020-07-07,2,0
2020-07-08,3,0
2020-07-09,4,0
2020-07-10,5,1
2020-07-11,6,0
2020-07-12,0,3
2020-07-13,1,5
2020-07-14,2,1
2020-07-15,3,1
2020-07-16,4,0
2020-07-17,5,2
2020-07-18,6,0
2020-07-19,0,1
2020-07-20,1,0
2020-07-21,2,0
2020-07-22,3,1
2020-07-23,4,1
2020-07-24,5,0
2020-07-25,6,0
2020-07-26,0,0
2020-07-27,1,2
2020-07-28,2,0
2020-07-29,3,0
2020-07-30,4,0
2020-07-31,5,1
2020-08-01,6,2
2020-08-02,0,0
2020-08-03,1,2
2020-08-04,2,1
2020-08-05,3,1
2020-08-06,4,2
2020-08-07,5,1
2020-08-08,6,2
2020-08-09,0,1
2020-08-10,1,0
2020-08-11,2,0
2020-08-12,3,2
2020-08-13,4,1
2020-08-14,5,0
2020-08-15,6,0
2020-08-16,0,0
2020-08-17,1,2
2020-08-18,2,0
2020-08-19,3,0
2020-08-20,4,1
2020-08-21,5,0
2020-08-22,6,0
2020-08-23,0,1
2020-08-24,1,2
2020-08-25,2,1
2020-08-26,3,0
2020-08-27,4,1
2020-08-28,5,0
2020-08-29,6,1
2020-08-30,0,0
2020-08-31,1,0
2020-09-01,2,0
2020-09-02,3,1
2020-09-03,4,1
2020-09-04,5,1
2020-09-05,6,0
2020-09-06,0,0
2020-09-07,1,1
2020-09-08,2,1
2020-09-09,3,0
2020-09-10,4,0
2020-09-11,5,0
2020-09-12,6,0
2020-09-13,0,0
2020-09-14,1,0
2020-09-15,2,0
2020-09-16,3,0
2020-09-17,4,1
2020-09-18,5,0
2020-09-19,6,0
2020-09-20,0,0
2020-09-21,1,1
2020-09-22,2,1
2020-09-23,3,0
2020-09-24,4,0
2020-09-25,5,0
2020-09-26,6,0
2020-09-27,0,1
2020-09-28,1,0
2020-09-29,2,0
2020-09-30,3,0
2020-10-01,4,0
2020-10-02,5,1
2020-10-03,6,2
2020-10-04,0,0
2020-10-05,1,0
2020-10-06,2,1
2020-10-07,3,0
2020-10-08,4,0
2020-10-09,5,0
2020-10-10,6,0
2020-10-11,0,0
2020-10-12,1,1
2020-10-13,2,0
2020-10-14,3,2
2020-10-15,4,2
2020-10-16,5,0
2020-10-17,6,0
2020-10-18,0,1
2020-10-19,1,1
2020-10-20,2,1
2020-10-21,3,0
2020-10-22,4,1
2020-10-23,5,0
2020-10-24,6,0
2020-10-25,0,1
2020-10-26,1,0
2020-10-27,2,1
2020-10-28,3,0
2020-10-29,4,0
2020-10-30,5,0
2020-10-31,6,1
2020-11-01,0,0
2020-11-02,1,0
2020-11-03,2,2
2020-11-04,3,2
2020-11-05,4,1
2020-11-06,5,0
2020-11-07,6,0
2020-11-08,0,1
2020-11-09,1,1
2020-11-10,2,0
2020-11-11,3,0
2020-11-12,4,1
2020-11-13,5,0
2020-11-14,6,0
2020-11-15,0,0
2020-11-16,1,0
2020-11-17,2,1
2020-11-18,3,1
2020-11-19,4,0
2020-11-20,5,0
2020-11-21,6,3
2020-11-22,0,1
2020-11-23,1,0
2020-11-24,2,0
2020-11-25,3,0
2020-11-26,4,0
2020-11-27,5,0
2020-11-28,6,0
2020-11-29,0,0
2020-11-30,1,1
2020-12-01,2,0
2020-12-02,3,0
2020-12-03,4,0
2020-12-04,5,0
2020-12-05,6,0
2020-12-06,0,1
2020-12-07,1,2
2020-12-08,2,0
2020-12-09,3,0
2020-12-10,4,1
2020-12-11,5,1
2020-12-12,6,0
2020-12-13,0,0
2020-12-14,1,0
2020-12-15,2,0
2020-12-16,3,1
2020-12-17,4,0
2020-12-18,5,0
2020-12-19,6,0
2020-12-20,0,0
2020-12-21,1,1
2020-12-22,2,0
2020-12-23,3,0
2020-12-24,4,0
2020-12-25,5,0
2020-12-26,6,1
2020-12-27,0,1
2020-12-28,1,0
2020-12-29,2,1
2020-12-30,3,0
2020-12-31,4,1
2021-01-01,5,0
2021-01-02,6,3
2021-01-03,0,0
2021-01-04,1,1
2021-01-05,2,0
2021-01-06,3,0
2021-01-07,4,0
2021-01-08,5,1
2021-01-09,6,0
2021-01-10,0,0
2021-01-11,1,0
2021-01-12,2,0
2021-01-13,3,1
2021-01-14,4,0
2021-01-15,5,0
2021-01-16,6,0
2021-01-17,0,0
2021-01-18,1,3
2021-01-19,2,3
2021-01-20,3,0
2021-01-21,4,0
2021-01-22,5,0
2021-01-23,6,0
2021-01-24,0,1
2021-01-25,1,1
2021-01-26,2,0
2021-01-27,3,0
2021-01-28,4,1
2021-01-29,5,0
2021-01-30,6,1
2021-01-31,0,0
2021-02-01,1,0
2021-02-02,2,0
2021-02-03,3,0
2021-02-04,4,1
2021-02-05,5,1
2021-02-06,6,3
2021-02-07,0,1
2021-02-08,1,2
2021-02-09,2,1
2021-02-10,3,0
2021-02-11,4,0
2021-02-12,5,2
2021-02-13,6,1
2021-02-14,0,0
2021-02-15,1,0
2021-02-16,2,2
2021-02-17,3,1
2021-02-18,4,0
2021-02-19,5,0
2021-02-20,6,0
2021-02-21,0,0
2021-02-22,1,1
2021-02-23,2,0
2021-02-24,3,0
2021-02-25,4,0
2021-02-26,5,0
2021-02-27,6,1
2021-02-28,0,0
2021-03-01,1,0
2021-03-02,2,0
2021-03-03,3,2
2021-03-04,4,1
2021-03-05,5,1
2021-03-06,6,0
2021-03-07,0,1
2021-03-08,1,0
2021-03-09,2,3
2021-03-10,3,1
2021-03-11,4,1
2021-03-12,5,1
2021-03-13,6,0
2021-03-14,0,1
2021-03-15,1,1
2021-03-16,2,0
2021-03-17,3,0
2021-03-18,4,4
2021-03-19,5,0
2021-03-20,6,0
2021-03-21,0,0
2021-03-22,1,0
2021-03-23,2,1
2021-03-24,3,0
2021-03-25,4,1
2021-03-26,5,1
2021-03-27,6,1
2021-03-28,0,1
2021-03-29,1,0
2021-03-30,2,0
2021-03-31,3,0
2021-04-01,4,0
2021-04-02,5,2
2021-04-03,6,0
2021-04-04,0,0
2021-04-05,1,1
2021-04-06,2,0
2021-04-07,3,0
2021-04-08,4,0
2021-04-09,5,1
2021-04-10,6,0
2021-04-11,0,0
2021-04-12,1,0
2021-04-13,2,1
2021-04-14,3,0
2021-04-15,4,1
2021-04-16,5,0
2021-04-17,6,1
2021-04-18,0,0
2021-04-19,1,1
2021-04-20,2,1
2021-04-21,3,0
2021-04-22,4,1
2021-04-23,5,18
2021-04-24,6,22
2021-04-25,0,9
2021-04-26,1,9
2021-04-27,2,2
2021-04-28,3,2
2021-04-29,4,3
2021-04-30,5,1
2021-05-01,6,2
2021-05-02,0,2
2021-05-03,1,2
2021-05-04,2,2
2021-05-05,3,2
2021-05-06,4,1
2021-05-07,5,0
2021-05-08,6,2
2021-05-09,0,1
